"","result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","general",NA,"snapshot_date","date","2024-10-22","overall","overall"
"2",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","general",NA,"person_count","integer","100000","overall","overall"
"3",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","observation_period",NA,"count","integer","100000","overall","overall"
"4",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","cdm",NA,"source_name","character","Clinical Practice Research Datalink, GOLD 202407  release","overall","overall"
"5",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","general",NA,"vocabulary_version","character","v5.0 31-AUG-23","overall","overall"
"6",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","cdm",NA,"version","character","5.4","overall","overall"
"7",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","cdm",NA,"holder_name","character","NDORMS","overall","overall"
"8",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","cdm",NA,"release_date","character","2024-08-17","overall","overall"
"9",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","cdm",NA,"description","character","The Clinical Practice Research Datalink (CPRD) GOLD is a database of anonymised electronic health records (EHR) from General Practitioner (GP) clinics in the UK.","overall","overall"
"10",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","cdm",NA,"documentation_reference","character","https://cprd.com/primary-care-data-public-health-research","overall","overall"
"11",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","cdm",NA,"source_type","character","postgresql","overall","overall"
"12",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","observation_period",NA,"start_date","date","1987-09-09","overall","overall"
"13",1,"Clinical Practice Research Datalink, GOLD 202407  release","overall","overall","overall","overall","observation_period",NA,"end_date","date","2024-06-15","overall","overall"
