"","result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","overall","overall","number records",NA,"count","integer","12702367","overall","overall"
"2",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","overall","overall","number subjects",NA,"count","integer","85610","overall","overall"
"3",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","0 to 19","number records",NA,"count","integer","915729","overall","overall"
"4",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","20 to 39","number records",NA,"count","integer","1286946","overall","overall"
"5",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","40 to 59","number records",NA,"count","integer","2965576","overall","overall"
"6",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","60 to 79","number records",NA,"count","integer","5180332","overall","overall"
"7",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","80 to Inf","number records",NA,"count","integer","2353784","overall","overall"
"8",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","0 to 19","number subjects",NA,"count","integer","26396","overall","overall"
"9",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","20 to 39","number subjects",NA,"count","integer","34281","overall","overall"
"10",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","40 to 59","number subjects",NA,"count","integer","26679","overall","overall"
"11",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","60 to 79","number subjects",NA,"count","integer","19111","overall","overall"
"12",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group","80 to Inf","number subjects",NA,"count","integer","8031","overall","overall"
"13",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","sex","Female","number records",NA,"count","integer","7443000","overall","overall"
"14",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","sex","Male","number records",NA,"count","integer","5259367","overall","overall"
"15",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","sex","Female","number subjects",NA,"count","integer","45516","overall","overall"
"16",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","sex","Male","number subjects",NA,"count","integer","40094","overall","overall"
"17",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group &&& sex","0 to 19 &&& Female","number records",NA,"count","integer","452145","overall","overall"
"18",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group &&& sex","0 to 19 &&& Male","number records",NA,"count","integer","463584","overall","overall"
"19",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group &&& sex","20 to 39 &&& Female","number records",NA,"count","integer","848536","overall","overall"
"20",1,"Clinical Practice Research Datalink, GOLD 202407  release","omop_table","drug_exposure","age_group &&& sex","20 to 39 &&& Male","number records",NA,"count","integer","438410","overall","overall"
